outer_id,gene,max_abs_coef,sign_by_class
1,THRA,0.1658231139778016,"[1, 0, 0]"
1,KIAA0391,0.16440109378007864,"[-1, 1, 0]"
1,GYPE,0.15717802133429742,"[-1, 0, 0]"
1,SDK2,0.1521780774281566,"[-1, 0, 0]"
1,MRPS22,0.15216654702666454,"[0, 0, 1]"
1,LYVE1,0.1510254547467776,"[1, 0, 0]"
1,MMACHC,0.14556608321030218,"[1, 0, 0]"
1,DHX40,0.14411656426631755,"[-1, 0, 0]"
1,HBEGF,0.14185400530414818,"[0, -1, 0]"
1,DGCR2,0.14165172253296607,"[0, 1, 0]"
1,BTN3A1,0.14107534357892018,"[-1, 1, 0]"
1,CYP2J2,0.1405646010164219,"[0, -1, 0]"
1,PAWR,0.13983503381060344,"[-1, 0, 0]"
1,TLE6,0.13902600491376305,"[-1, 0, 0]"
1,RASAL2,0.13898981207852582,"[-1, 0, 0]"
1,MED20,0.1374101929834726,"[1, 0, 0]"
1,LOC100287590,0.1372930089168061,"[0, 1, 0]"
1,NSD1,0.1362911718947608,"[0, 0, 1]"
1,STIM1,0.13450936952834452,"[0, -1, 0]"
1,C18orf32,0.134171068473078,"[1, 0, 0]"
1,RTCB,0.13346742285143545,"[1, 0, 0]"
1,FAM63A,0.13018078409965672,"[0, 0, -1]"
1,CINP,0.12742374475882942,"[1, -1, 0]"
1,G3BP2,0.12666937470027037,"[-1, 0, 0]"
1,C22orf46,0.12529475243929306,"[1, 0, 0]"
1,CRYGC,0.12354624026730915,"[-1, 0, 0]"
1,ZFAND5,0.12352552411523496,"[0, -1, 0]"
1,VRTN,0.12269257651947951,"[1, -1, 0]"
1,MYH3,0.12251762661149093,"[0, -1, 0]"
1,MC3R,0.12043613633208367,"[0, 0, 1]"
1,FOXG1,0.1192117991777091,"[0, 0, 1]"
1,SART1,0.11735029145792703,"[0, -1, 1]"
1,INPP5B,0.11467935431733806,"[0, 1, 0]"
1,EIF3D,0.11368539588017222,"[-1, 1, 0]"
1,TSGA10,0.11233765157501795,"[0, -1, 0]"
1,AFF4,0.11217652146599814,"[1, 0, 0]"
1,FOXE1,0.11207696023992396,"[1, 0, 0]"
1,RPL18,0.109995756892309,"[0, 1, -1]"
1,LALBA,0.10840427096020602,"[0, -1, 0]"
1,ZNF45,0.10755579920148785,"[0, 1, 0]"
1,CTF1,0.10624958838534232,"[0, 1, 0]"
1,SRM,0.10546457931975647,"[0, 0, 1]"
1,GALR2,0.10520964237374407,"[0, -1, 1]"
1,CD177,0.10499244303999863,"[1, -1, 0]"
1,CAMK4,0.10341074400634004,"[-1, 0, 0]"
1,CCDC87,0.1013593994709986,"[1, 0, 0]"
1,APCS,0.10086449010794056,"[-1, 0, 0]"
1,SESN1,0.09880737385103978,"[0, 0, -1]"
1,PGBD5,0.09521196159237665,"[0, 0, 1]"
1,FGF5,0.09492110000657718,"[0, 1, 0]"
1,ORC4,0.09349162535248057,"[0, 0, -1]"
1,TREM1,0.09341054784803833,"[0, -1, 0]"
1,CR1,0.09124990949972757,"[0, -1, 0]"
1,CDK5R2,0.08992156584177123,"[0, 0, 1]"
1,NAT8,0.0879411414871297,"[0, -1, 0]"
1,PCDH8,0.08766426159517986,"[-1, 0, 0]"
1,MAP3K8,0.08749207934514466,"[0, -1, 0]"
1,RASSF8,0.0867611806766607,"[0, 1, 0]"
1,USP11,0.08674684912621895,"[0, 0, -1]"
1,BAHD1,0.08656612402140183,"[1, 0, -1]"
1,SLC22A8,0.08552546833227871,"[0, -1, 0]"
1,C1QTNF9B-AS1,0.08485408590170619,"[-1, 1, 0]"
1,LOC1720,0.0816888044274022,"[0, 1, 0]"
1,SEC31B,0.08008373428436041,"[0, -1, 0]"
1,AMFR,0.0796538200776387,"[1, -1, 0]"
1,CYP7A1,0.0795517367337524,"[0, -1, 0]"
1,EEF1DP5,0.0782348400515805,"[0, 1, 0]"
1,NAT2,0.07765113159660084,"[0, -1, 0]"
1,CDC14A,0.07747119585643941,"[0, 0, -1]"
1,PPFIA2,0.07698421190961774,"[1, 0, 0]"
1,RPL21,0.07663059055794098,"[0, 1, 0]"
1,NEUROG3,0.07633833309235932,"[0, -1, 0]"
1,ZNF516,0.07621848997504246,"[0, 0, -1]"
1,CHRM4,0.07617991516702943,"[-1, 1, 0]"
1,IDI2-AS1,0.07607302531863583,"[0, -1, 0]"
1,CSNK1A1,0.07560749282060894,"[1, 0, 0]"
1,ZNF467,0.07484215148229471,"[1, 0, 0]"
1,OTUD3,0.07483905911548243,"[0, 0, -1]"
1,CDH18,0.07397902452636258,"[1, 0, 0]"
1,ACOT11,0.07395602053500194,"[0, 1, 0]"
1,DDI2,0.07236046717644604,"[0, -1, 0]"
1,PAQR3,0.07194201010114616,"[0, 0, 1]"
1,ZIC3,0.07096915953897182,"[1, 0, 0]"
1,HSD17B3,0.07022221847930782,"[1, 0, 0]"
1,CNPPD1,0.06918721229186124,"[1, 0, 0]"
1,CCDC169-SOHLH2,0.06807630182273111,"[-1, 1, 0]"
1,TLR6,0.06724452422121119,"[0, 1, 0]"
1,CCDC71,0.06687036261334536,"[0, 0, -1]"
1,ADCY10,0.06528413452745387,"[0, 0, 1]"
1,MAGI1,0.06508542056289328,"[1, 0, 0]"
1,HPCA,0.06502838815434128,"[0, 1, 0]"
1,NTS,0.06451503154395857,"[-1, 0, 0]"
1,INA,0.06367253724099611,"[0, -1, 0]"
1,VPS53,0.06185134664514278,"[0, 0, -1]"
1,MRAS,0.06172888727570389,"[0, -1, 0]"
1,ELAC2,0.06170567605550257,"[0, 1, 0]"
1,NOL10,0.05908967602877706,"[0, -1, 0]"
1,OR7E14P,0.0584914746953469,"[0, 0, 1]"
1,ZNF589,0.05798768683501315,"[0, -1, 0]"
1,MAPK8IP3,0.055242498903542055,"[1, 0, 0]"
1,CHRD,0.05313889860429364,"[-1, 0, 0]"
1,PEX1,0.05213961790381479,"[0, 0, -1]"
1,IL1RN,0.051594353167898475,"[0, -1, 0]"
1,SLFN12,0.05103959831228496,"[1, 0, 0]"
1,UNC93B1,0.04896551304278373,"[0, -1, 0]"
1,GPR63,0.04890121341676894,"[0, -1, 0]"
1,CA6,0.048366644919286134,"[1, -1, 0]"
1,SLC25A3,0.04831936758294474,"[0, -1, 0]"
1,YEATS4,0.04760400396425111,"[-1, 0, 0]"
1,NMT2,0.04728261224439687,"[1, -1, 0]"
1,HIST1H3C,0.04675392649898016,"[0, 1, 0]"
1,CHN2,0.04675385393491079,"[-1, 0, 0]"
1,TRIO,0.046199273287025736,"[0, 1, 0]"
1,GTF2B,0.04549187296527369,"[0, 0, -1]"
1,LOC101929036,0.045293645761548915,"[0, -1, 0]"
1,SCML1,0.045265645983521556,"[0, 0, -1]"
1,C7orf26,0.04452829759079503,"[0, 1, 0]"
1,POLR2L,0.044423332998011635,"[1, 0, 0]"
1,BLOC1S1-RDH5,0.04432560518587858,"[0, -1, 0]"
1,GPR85,0.04404285557546991,"[1, -1, 0]"
1,TTTY15,0.04399678118563321,"[0, 0, 1]"
1,PAX3,0.04373467527335664,"[0, 1, 0]"
1,CHRNE,0.04294580700278343,"[0, -1, 0]"
1,RPS5,0.04275641761993989,"[-1, 1, 0]"
1,LCMT2,0.04254185386014991,"[0, 1, -1]"
1,UNKL,0.03915420068175183,"[0, 0, -1]"
1,NUP98,0.03804139285834562,"[0, -1, 1]"
1,CPLX3,0.037333782586026217,"[0, -1, 0]"
1,MAP4K5,0.03676007968328419,"[-1, 0, 0]"
1,MORN1,0.03674270759504002,"[-1, 0, 0]"
1,LOC100134822,0.03586872312493767,"[-1, 0, 0]"
1,SRP14,0.03533166636182652,"[1, 0, 0]"
